AWQ,Station,Site Name,Date,Time,Temp_C,Cond,DO,Depth
15614,BP-1,Burr Pond ,4/2/2018,12:07:29,7.246,211.8,11.78,0.263
15614,BP-1,Burr Pond ,4/2/2018,12:12:11,7.169,211.5,11.78,0.923
15614,BP-1,Burr Pond ,4/2/2018,12:13:58,7.043,212.1,11.77,1.953
15614,BP-1,Burr Pond ,4/2/2018,12:19:30,6.997,211.9,11.79,2.633
